STOCK SYMBOL,COMPANY NAME
TSE:XSP,iShares Core S&P 500 Index ETF (CAD-Hedged)
XIU,iShares S&P/TSX 60 Index ETF
TSE:XIN,iShares MSCI EAFE Index ETF (CAD-Hedged)
MSFT,Microsoft Corporation
SMH,VanEck Vectors Semiconductor ETF
TM,Toyota Motor Corp
AAPL,Apple Inc
NKE,Nike Inc
ZEN,Zendesk Inc
BYND,Beyond Meat Inc
DELL,Dell Technologies Inc
TWLO,Twilio Inc
LMND,Lemonade Inc
TSE:FOOD,Goodfood Market Corp
LIT,Global X Lithium & Battery Tech ETF
SONY,Sony Group Corp
WMT,Walmart Inc
TSE:WELL,WELL Health Technologies Corp
CRWD,Crowdstrike Holdings Inc
U,Unity Software Inc
COUR,Coursera Inc
ATVI,"Activision Blizzard, Inc."
TSE:VFF,Village Farms International Inc
RBOT,iShares Automation & Robotics UCITS ETF USD A
CYBR.B,Evolve Cyber Security Index ETF Unhedged
DDOG,Datadog Inc
TSE:CNR,Canadian National Railway
TSE:CARE,Dialogue Health Technologies Inc
TSE:AC,Air Canada
HBLK,Blockchain Technologies ETF Units Class A
AMD,"Advanced Micro Devices, Inc."
WORK,Slack Technologies Inc
BUZZ,VanEck Vectors Social Sentiment ETF
F,Ford Motor Company
TSE:SCR,Score Media and Gaming Inc
FSLY,Fastly Inc
FWONK,Liberty Media Formula One Series C
BB,BlackBerry Ltd
HMC,Honda Motor Co Ltd
TSE:PSYK,#N/A
